Name,Grade,Synergy,Unchange,Level,HP,HPGen,MP,MPGen,AttackSpeed,AttackDamage,DmgRange,Armor,Magic Armor,Skill
11,,8,0.2,3,900,0,100,0,50,90,0,3,0,40001
5,,,2,4,1200,0,100,0,50,120,0,4,0,40001
,,,0,5,1500,0,100,0,50,150,0,5,0,40001
암살2,2,2,1,1,450,0,100,0,50,45,0,1,0,40001
Assassin2,,4,0.1,2,900,0,100,0,50,90,0,2,0,40001
12,,11,0.2,3,1350,0,100,0,50,135,0,3,0,40001
5,,,2,4,1800,0,100,0,50,180,0,4,0,40001
,,,0,5,2250,0,100,0,50,225,0,5,0,40001
암살3,3,2,1,1,600,0,100,0,50,60,0,1,0,40001
Assassin3,,6,0.1,2,1200,0,100,0,50,120,0,2,0,40001
13,,11,0.2,3,1800,0,100,0,50,180,0,3,0,40001
5,,,2,4,2400,0,100,0,50,240,0,4,0,40001
,,,0,5,3000,0,100,0,50,300,0,5,0,40001
암살4,4,3,1,1,750,0,100,0,50,75,0,1,0,40001
Assassin4,,5,0.1,2,1500,0,100,0,50,150,0,2,0,40001
14,,8,0.2,3,2250,0,100,0,50,225,0,3,0,40001
5,,,2,4,3000,0,100,0,50,300,0,4,0,40001
,,,0,5,3750,0,100,0,50,375,0,5,0,40001
암살5,5,3,1,1,900,0,100,0,50,90,0,1,0,40001
Assassin5,,5,0.1,2,1800,0,100,0,50,180,0,2,0,40001
15,,8,0.2,3,2700,0,100,0,50,270,0,3,0,40001
5,,,2,4,3600,0,100,0,50,360,0,4,0,40001
,,,0,5,4500,0,100,0,50,450,0,5,0,40001
특수1,1,1,3,1,300,0,100,0,15,30,0,1,0,0
Special1,,4,0.3,2,600,0,100,0,15,60,0,2,0,0
16,,9,0.1,3,900,0,100,0,15,90,0,3,0,0
4,,,2,4,1200,0,100,0,15,120,0,4,0,0
,,,1,5,1500,0,100,0,15,150,0,5,0,0
크롤러,2,1,1,1,750,3,100,0,20,30,0,2,0,0
crawler,,6,0.1,2,830,3,100,0,20,40,0,3,0,0
17,,9,0.2,3,910,3,100,0,20,50,0,4,0,0
1,,,1,4,990,3,100,0,20,60,0,6,0,0
,,,0,5,1070,3,100,0,20,70,0,8,0,0
특수3,3,1,3,1,600,0,100,0,15,60,0,1,0,0
Special3,,4,0.3,2,1200,0,100,0,15,120,0,2,0,0
18,,7,0.1,3,1800,0,100,0,15,180,0,3,0,0
4,,,2,4,2400,0,100,0,15,240,0,4,0,0
,,,1,5,3000,0,100,0,15,300,0,5,0,0
특수4,4,5,3,1,750,0,100,0,15,75,0,1,0,0
Special4,,8,0.3,2,1500,0,100,0,15,150,0,2,0,0
19,,9,0.1,3,2250,0,100,0,15,225,0,3,0,0
4,,,2,4,3000,0,100,0,15,300,0,4,0,0
,,,1,5,3750,0,100,0,15,375,0,5,0,0
특수5,5,4,3,1,900,0,100,0,15,90,0,1,0,0
Special5,,9,0.3,2,1800,0,100,0,15,180,0,2,0,0
20,,10,0.1,3,2700,0,100,0,15,270,0,3,0,0
4,,,2,4,3600,0,100,0,15,360,0,4,0,0
,,,1,5,4500,0,100,0,15,450,0,5,0,0
